taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
51019,7773,TRUE,TRUE,TRUE,TRUE
1220188,7775,TRUE,TRUE,TRUE,TRUE
301854,7773,TRUE,TRUE,TRUE,TRUE
340412,7774,TRUE,TRUE,TRUE,TRUE
41047,7772,TRUE,TRUE,TRUE,TRUE
61420,7769,TRUE,TRUE,TRUE,TRUE
41068,7774,TRUE,TRUE,TRUE,TRUE
1191711,7770,TRUE,TRUE,TRUE,TRUE
446911,7774,TRUE,TRUE,TRUE,TRUE
34381,7773,TRUE,TRUE,TRUE,TRUE
288669,7774,TRUE,TRUE,TRUE,TRUE
132259,7767,TRUE,TRUE,TRUE,TRUE
1196635,7766,TRUE,TRUE,TRUE,TRUE
487661,7758,TRUE,TRUE,TRUE,TRUE
1506151,7765,TRUE,TRUE,TRUE,TRUE
293939,7771,TRUE,TRUE,TRUE,TRUE
109264,7773,TRUE,TRUE,TRUE,TRUE
1340029,7766,TRUE,TRUE,TRUE,TRUE
41061,7768,TRUE,TRUE,TRUE,TRUE
1341132,7774,TRUE,TRUE,TRUE,TRUE
319630,7764,TRUE,TRUE,TRUE,TRUE
319631,7747,TRUE,TRUE,TRUE,TRUE
5068,7773,TRUE,TRUE,TRUE,TRUE
91492,2039,FALSE,FALSE,FALSE,FALSE
2741095,7154,TRUE,TRUE,TRUE,TRUE
1316485,7636,TRUE,TRUE,TRUE,TRUE
1405805,7775,TRUE,TRUE,TRUE,TRUE
41903,2052,FALSE,FALSE,FALSE,FALSE
40381,7765,TRUE,TRUE,TRUE,TRUE
41724,3509,FALSE,FALSE,FALSE,FALSE
41282,1140,FALSE,FALSE,FALSE,FALSE
5073,7775,TRUE,TRUE,TRUE,TRUE
1108849,7772,TRUE,TRUE,TRUE,TRUE
1835702,7774,TRUE,TRUE,TRUE,TRUE
27334,7772,TRUE,TRUE,TRUE,TRUE
36651,7772,TRUE,TRUE,TRUE,TRUE
69788,1281,FALSE,FALSE,FALSE,FALSE
36656,7552,TRUE,TRUE,TRUE,TRUE
2006157,2045,FALSE,FALSE,FALSE,FALSE
1032753,2042,FALSE,FALSE,FALSE,FALSE
1909432,7758,TRUE,TRUE,TRUE,TRUE
5081,7677,TRUE,TRUE,TRUE,TRUE
36650,1055,FALSE,FALSE,FALSE,FALSE
60172,7445,TRUE,TRUE,TRUE,TRUE
5077,7773,TRUE,TRUE,TRUE,TRUE
1131482,7427,TRUE,TRUE,TRUE,TRUE
69781,7714,TRUE,TRUE,TRUE,TRUE
41063,7774,TRUE,TRUE,TRUE,TRUE
5098,7775,TRUE,TRUE,TRUE,TRUE
159250,2052,FALSE,FALSE,FALSE,FALSE
246267,7684,TRUE,TRUE,TRUE,TRUE
89491,6857,FALSE,TRUE,TRUE,TRUE
5094,7773,TRUE,TRUE,TRUE,TRUE
28572,7766,TRUE,TRUE,TRUE,TRUE
128442,7775,TRUE,TRUE,TRUE,TRUE
37727,7774,TRUE,TRUE,TRUE,TRUE
28564,7772,TRUE,TRUE,TRUE,TRUE
1266744,7702,TRUE,TRUE,TRUE,TRUE
198730,859,FALSE,FALSE,FALSE,FALSE
68825,7773,TRUE,TRUE,TRUE,TRUE
