"","kingdom","phylum","class","order","family","genus","species"
"1079112","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria",NA
"1079257","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria robusta"
"1237074","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla sp. KOD-2012a"
"342370","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Sarcopodium","Sarcopodium macalpinei"
"1382455","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocladiella","Cylindrocladiella sp. Sw66"
"2303742","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma sp. 4 WYZ-2018"
"1253923","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Hypomyces","Hypomyces sp. 15PA19"
"1037537","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","Cordyceps sp. CUHK CSM1"
"1755423","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","Cordyceps sp."
"1891652","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria","Beauveria sp."
